         29486 function calls (28396 primitive calls) in 0.149 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.001    0.000    0.134    0.013 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\sklearn.py:1615(predict_proba)
       10    0.001    0.000    0.132    0.013 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\sklearn.py:1093(predict)
        5    0.000    0.000    0.080    0.016 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\sklearn.py:1585(predict)
       10    0.000    0.000    0.047    0.005 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\basic.py:4701(predict)
       10    0.001    0.000    0.043    0.004 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\utils\validation.py:2793(validate_data)
       10    0.000    0.000    0.039    0.004 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\basic.py:1100(predict)
       10    0.000    0.000    0.038    0.004 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\basic.py:1327(__pred_for_np2d)
       10    0.036    0.004    0.038    0.004 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\basic.py:1286(__inner_predict_np2d)
       10    0.000    0.000    0.037    0.004 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\utils\validation.py:2633(_check_feature_names)
  690/670    0.001    0.000    0.026    0.000 {built-in method builtins.getattr}
       10    0.000    0.000    0.025    0.003 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\sklearn.py:801(_process_params)
       10    0.000    0.000    0.025    0.003 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\sklearn.py:1281(feature_names_in_)
       10    0.000    0.000    0.022    0.002 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\sklearn.py:1269(feature_name_)
       10    0.009    0.001    0.022    0.002 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\basic.py:5011(feature_name)
    20/10    0.001    0.000    0.021    0.002 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\sklearn.py:735(get_params)
       30    0.001    0.000    0.018    0.001 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\base.py:240(get_params)
       30    0.000    0.000    0.016    0.001 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\inspect.py:3382(signature)
       30    0.000    0.000    0.016    0.001 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\inspect.py:3103(from_callable)
       30    0.001    0.000    0.016    0.001 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\inspect.py:2496(_signature_from_callable)
       30    0.002    0.000    0.016    0.001 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\base.py:209(_get_param_names)
        5    0.000    0.000    0.014    0.003 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\preprocessing\_label.py:146(inverse_transform)
       30    0.004    0.000    0.014    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\inspect.py:2392(_signature_from_function)
       10    0.002    0.000    0.011    0.001 {built-in method _warnings.warn}
     1890    0.008    0.000    0.011    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\ctypes\__init__.py:49(create_string_buffer)
  1090/30    0.006    0.000    0.010    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\copy.py:119(deepcopy)
       10    0.000    0.000    0.009    0.001 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\sklearn.py:887(_process_n_jobs)
       10    0.000    0.000    0.009    0.001 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\compat.py:351(_LGBMCpuCount)
       10    0.000    0.000    0.009    0.001 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\joblib\parallel.py:631(cpu_count)
       10    0.000    0.000    0.009    0.001 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\warnings.py:97(_showwarnmsg)
       10    0.000    0.000    0.009    0.001 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\joblib\externals\loky\backend\context.py:78(cpu_count)
       10    0.000    0.000    0.009    0.001 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\warnings.py:20(_showwarnmsg_impl)
       30    0.002    0.000    0.009    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\copy.py:218(_deepcopy_dict)
       10    0.000    0.000    0.009    0.001 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\joblib\externals\loky\backend\context.py:215(_cpu_count_user)
       10    0.008    0.001    0.008    0.001 {method 'write' of '_io.TextIOWrapper' objects}
       25    0.003    0.000    0.008    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\externals\array_api_compat\_internal.py:32(wrapped_f)
       20    0.000    0.000    0.007    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\basic.py:650(_choose_param_value)
        5    0.000    0.000    0.006    0.001 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\externals\array_api_extra\_lib\_funcs.py:888(setdiff1d)
