feature,importance
EXT_SOURCE_MEAN,0.19699833
EXT_SOURCE_MIN,0.03376409
NAME_EDUCATION_TYPE_Higher_education,0.032981344
EXT_SOURCE_MAX,0.029354466
NAME_INCOME_TYPE_Working,0.024515878
CODE_GENDER_M,0.02444076
CREDIT_TO_GOODS_RATIO,0.021367969
NAME_EDUCATION_TYPE_Secondary_secondary_special,0.02033482
FLAG_OWN_CAR_Y,0.017961621
FLAG_DOCUMENT_3,0.016813688
TOTAL_DOCUMENTS_PROVIDED,0.016454479
EXT_SOURCE_3,0.015812475
NAME_FAMILY_STATUS_Married,0.015337138
DAYS_EMPLOYED,0.015034951
FLAG_EMP_PHONE,0.014834294
REG_CITY_NOT_LIVE_CITY,0.0147738615
DEF_30_CNT_SOCIAL_CIRCLE,0.014167525
WALLSMATERIAL_MODE_Panel,0.013859124
OWN_CAR_AGE,0.013740703
DEF_60_CNT_SOCIAL_CIRCLE,0.013313999
NAME_CONTRACT_TYPE_Revolving_loans,0.013210838
REGION_RATING_CLIENT,0.011911728
NAME_INCOME_TYPE_State_servant,0.011891839
FLAG_WORK_PHONE,0.0118002575
DAYS_BIRTH,0.011489747
AMT_ANNUITY,0.011296535
EXT_SOURCE_1,0.011150768
AMT_CREDIT,0.011147583
AMT_REQ_CREDIT_BUREAU_QRT,0.010991213
REG_CITY_NOT_WORK_CITY,0.01022143
DAYS_ID_PUBLISH,0.009550561
FLOORSMAX_AVG,0.009075297
DAYS_LAST_PHONE_CHANGE,0.008381192
EXT_SOURCE_2,0.0081617255
AMT_REQ_CREDIT_BUREAU_YEAR,0.007944293
HAS_CHILDREN,0.007857071
AMT_REQ_CREDIT_BUREAU_WEEK,0.0077450164
AMT_REQ_CREDIT_BUREAU_DAY,0.0076874425
ELEVATORS_AVG,0.0076685566
DEBT_TO_INCOME_RATIO,0.007651587
NAME_HOUSING_TYPE_House_apartment,0.007265955
AMT_INCOME_TOTAL,0.006988632
AMT_REQ_CREDIT_BUREAU_MON,0.0069649452
FLAG_OWN_REALTY_Y,0.006883035
REG_REGION_NOT_LIVE_REGION,0.0067199743
NAME_HOUSING_TYPE_Municipal_apartment,0.006583723
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0064852107
NAME_FAMILY_STATUS_Widow,0.0064732055
INCOME_PER_PERSON,0.006335833
LIVE_REGION_NOT_WORK_REGION,0.006314242
NAME_HOUSING_TYPE_With_parents,0.006301267
NAME_EDUCATION_TYPE_Lower_secondary,0.006239106
CNT_CHILDREN,0.006236831
DAYS_REGISTRATION,0.0062178755
NAME_FAMILY_STATUS_Single_not_married,0.006213034
FONDKAPREMONT_MODE_reg_oper_spec_account,0.00620035
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0061625224
OBS_30_CNT_SOCIAL_CIRCLE,0.0061321314
HOUR_APPR_PROCESS_START,0.006023496
NAME_HOUSING_TYPE_Rented_apartment,0.0059511606
FLAG_DOCUMENT_6,0.005897222
FONDKAPREMONT_MODE_org_spec_account,0.0058847144
CNT_FAM_MEMBERS,0.005862708
NAME_TYPE_SUITE_Spouse_partner,0.0058571794
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0057747914
FLAG_DOCUMENT_5,0.005656703
NAME_EDUCATION_TYPE_Incomplete_higher,0.005648833
FLAG_EMAIL,0.005581062
NAME_TYPE_SUITE_Unaccompanied,0.005580941
WALLSMATERIAL_MODE_Stone_brick,0.005493873
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0053395163
WEEKDAY_APPR_PROCESS_START_MONDAY,0.005236817
FLAG_PHONE,0.0051846053
LIVE_CITY_NOT_WORK_CITY,0.0048992285
FONDKAPREMONT_MODE_reg_oper_account,0.004810187
NAME_FAMILY_STATUS_Separated,0.0046977154
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0046359403
NAME_INCOME_TYPE_Commercial_associate,0.0043799314
FLAG_DOCUMENT_8,0.0043568797
NAME_TYPE_SUITE_Family,0.004236446
REG_REGION_NOT_WORK_REGION,0.0035959482
WALLSMATERIAL_MODE_Wooden,0.0
