feature,importance,cumulative_importance
DAYS_BIRTH,101,0.033666666666666664
DAYS_EMPLOYED,95,0.06533333333333333
EXT_SOURCE_MEAN,93,0.09633333333333334
CREDIT_TO_GOODS_RATIO,88,0.12566666666666668
AMT_ANNUITY,84,0.15366666666666667
AMT_CREDIT,79,0.18
EXT_SOURCE_1,59,0.19966666666666666
INST_IS_LATE_MEAN,58,0.219
BUREAU_DAYS_CREDIT_ENDDATE_MAX,53,0.23666666666666666
DAYS_ID_PUBLISH,52,0.254
EXT_SOURCE_3,51,0.271
PREV_APPROVAL_RATE,50,0.2876666666666667
BUREAU_DEBT_TO_CREDIT_RATIO,49,0.304
INST_PAYMENT_RATIO_MEAN,47,0.31966666666666665
EXT_SOURCE_2,46,0.335
INST_AMT_INSTALMENT_SUM,44,0.3496666666666667
EXT_SOURCE_MIN,44,0.36433333333333334
CODE_GENDER_M,43,0.37866666666666665
PREV_CNT_PAYMENT_MEAN,43,0.393
DEBT_TO_INCOME_RATIO,43,0.4073333333333333
PREV_APP_CREDIT_RATIO,42,0.42133333333333334
POS_CNT_INSTALMENT_MAX,41,0.435
BUREAU_DAYS_CREDIT_MAX,40,0.4483333333333333
INST_DAYS_INSTALMENT_MIN,39,0.4613333333333333
INST_AMT_INSTALMENT_MIN,35,0.473
PREV_AMT_DOWN_PAYMENT_SUM,35,0.4846666666666667
INST_DPD_MAX,33,0.49566666666666664
POS_SK_ID_PREV_COUNT,32,0.5063333333333333
BUREAU_AMT_CREDIT_SUM_MAX,32,0.517
EXT_SOURCE_MAX,30,0.527
DAYS_LAST_PHONE_CHANGE,29,0.5366666666666666
INST_DAYS_INSTALMENT_MEAN,27,0.5456666666666666
POS_CNT_INSTALMENT_MEAN,27,0.5546666666666666
INST_DAYS_INSTALMENT_MAX,26,0.5633333333333334
TOTAL_DOCUMENTS_PROVIDED,26,0.572
BUREAU_DAYS_CREDIT_MEAN,26,0.5806666666666667
PREV_STATUS_REFUSED_COUNT,25,0.589
BUREAU_CREDIT_ACTIVE_COUNT,24,0.597
INST_AMT_INSTALMENT_MAX,24,0.605
DAYS_REGISTRATION,23,0.6126666666666667
NAME_EDUCATION_TYPE_Higher_education,23,0.6203333333333333
PREV_CNT_PAYMENT_MAX,22,0.6276666666666667
BUREAU_AMT_CREDIT_SUM_MEAN,22,0.635
PREV_AMT_ANNUITY_MEAN,22,0.6423333333333333
PREV_DAYS_FIRST_DUE_MAX,21,0.6493333333333333
POS_MONTHS_BALANCE_MAX,21,0.6563333333333333
INST_SK_ID_PREV_COUNT,21,0.6633333333333333
OWN_CAR_AGE,21,0.6703333333333333
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,20,0.677
NAME_FAMILY_STATUS_Married,20,0.6836666666666666
INST_DPD_MEAN,20,0.6903333333333334
FLAG_OWN_CAR_Y,20,0.697
INST_PAYMENT_DIFF_MEAN,20,0.7036666666666667
PREV_AMT_DOWN_PAYMENT_MAX,20,0.7103333333333334
PREV_DAYS_DECISION_MAX,19,0.7166666666666667
PREV_DAYS_LAST_DUE_MEAN,19,0.723
